Id_peli;Tipo;imdb_id;Titulo;Titulo original;Popularidad;Rating;Fecha;Duracion;Paises;Idioma;productoras_id;productoras_nombre;productoras_pais;Presupuesto;Ganancia;Generos;Director;Genero_dir;Casting;Genero_cast;Guion;Genero_guion;Montaje;Genero_montaje;DOP;Genero_dop;Resumen
537021.0;movie;tt7666250;Yuli;Yuli;5.444;7.0;2018-12-14;115;['CU', 'DE', 'ES', 'GB'];es;[10031, 834, 54808, 7306, 67412, 5175, 850];['Morena Films', 'Potboiler Productions', 'Producciones de la 5ª Avenida', 'The Match Factory', 'Movistar+', 'ICAIC', 'Eurimages'];['ES', 'GB', '', 'DE', 'ES', 'CU', 'FR'];0;0;['Drama'];['Icíar Bollaín'];[1];['Santiago Alfonso', 'Carlos Acosta', 'Keyvin Martínez', 'Edison Manuel Olbera', 'Laura de la Uz', 'Yerlín Pérez López', 'Carlos Enrique Almirante', 'Andrea Doimeadios', 'Alexandra Prokhorova', 'Tamara Rojo', 'Héctor Noas'];[0, 2, 0, 0, 1, 0, 2, 0, 0, 1, 2];[];[];[];[];['Álex Catalán'];[2];Yuli is the nickname given to Carlos Acosta by his father, Pedro, who considers him the son of Ogun, an African god and a fighter. As a child Yuli avoids discipline and education, learning from the streets of an impoverished and abandoned Havana. His father, however, has other ideas, and knowing that his son has a natural talent for dance, sends him to the National Ballet School of Cuba. Despite his repeated escapes and initial poor behaviour, the boy is inevitably drawn to the world of dance, and begins to shape his legendary career from a young age, becoming the first black dancer to be cast in some of the most prestigious ballet roles, originally written for white dancers, in companies such as the Houston Ballet or the Royal Ballet in London.
457915.0;movie;tt4110388;Superlopez;Superlópez;14.997;5.433;2018-11-23;108;['ES'];es;[78488, 1182, 117226, 67412, 103476];['Zeta Cinema', 'Telecinco Cinema', 'La Gran Superproducción', 'Movistar+', 'Mogambo Films'];['', 'ES', '', 'ES', 'ES'];5200000;12496155;['Comedy'];['Javier Ruiz Caldera'];[2];['Dani Rovira', 'Alexandra Jiménez', 'Julián López', 'Maribel Verdú', 'Pedro Casablanc', 'Carlos Zabala', 'Gracia Olayo', 'Nao Albet', 'Gonzalo de Castro', 'Marc Rodríguez', 'César Riola', 'Teresa Rodríguez', 'Ferran Rañé', 'Mireia Portas', 'David Fernández', 'Jordi Colom', 'Xavi Colom', 'Alejandro Serrano', 'Berto Romero', 'Eduard Benito', 'Toni Garrido', 'León Martínez'];[2, 1, 2, 1, 2, 2, 1, 2, 2, 2, 0, 0, 2, 1, 2, 0, 0, 2, 2, 0, 2, 0];['Borja Cobeaga', 'Diego San José'];[2, 2];['Alberto de Toro'];[2];['Arnau Valls Colomer'];[2];Juan López must balance an office job with heroic feats to save the love of his life and native planet Chitón.
517298.0;movie;tt7527538;Jefe;Jefe;4.334;5.516;2018-05-04;89;['ES'];es;[91991, 72738, 103476];['Bowfinger', 'Potenza Producciones', 'Mogambo Films'];['ES', 'ES', 'ES'];0;0;['Comedy'];['Sergio Barrejón'];[2];"['Luis Callejo', 'Juana Acosta', ""Carlo D'Ursi"", 'Josean Bengoetxea', 'Bárbara Santa-Cruz', 'Maica Barroso', 'Dailia Carmo', 'Adam Jezierski', 'Sergio Quintana', 'Diana Lázaro', 'Teo Planell']";[2, 1, 2, 2, 1, 1, 0, 2, 2, 1, 2];[];[];['Raúl de Torres'];[2];[];[];"Cesar is 'the boss', the one everyone hates, the one some flatter and the one nobody tells the truth; the great successful businessman is on the edge of the precipice. One night his actions crumble down, his partners betray him and his wife kicks him out of the house. Entrenched in his office, he tries relentlessly to recover his company and his life. But he will not do it alone, César will find a very special ally, Ariana, the cleaner of the night shift."
568192.0;movie;tt9422182;Talent Scout;Cazatalentos;0.743;7.0;2018-10-02;8;['ES'];es;[112274];['12 Pingüinos Animados S.L'];[''];0;0;['Animation'];['José Herrera', 'Manuel Sirgo'];[0, 0];[];[];[];[];[];[];[];[];
568196.0;movie;tt9204394;I wish...;I wish...;0.044;7.0;2018-04-25;0;['ES'];xx;[112275];['ESDIP Escuela de Arte'];[''];0;0;['Animation'];['Víctor Lorenzo Pinel'];[0];[];[];[];[];[];[];[];[];
568197.0;movie;tt9199142;I Am a Grave;Soy una tumba;0.084;4.5;2018-10-30;13;['ES'];es;[];[];[];0;0;['Animation', 'Drama', 'Thriller'];['Khris Cembe'];[0];[];[];[];[];[];[];[];[];As usual, a child observes hiding his father from downloading smuggling tobacco in the middle of the night. But tonight there is no tobacco.
568195.0;movie;tt8783064;El olvido;El olvido;0.045;7.0;2018-01-01;0;['ES'];es;[64815];['Horizonte 6 Quince'];[''];0;0;['Animation', 'Drama'];['Xenia Grey', 'Cristina Vaello'];[0, 0];[];[];[];[];[];[];[];[];
378107.0;movie;tt2967856;Another Day of Life;Another Day of Life;7.28;7.443;2018-10-26;86;['US'];en;[72231, 114060, 11918, 19037, 8675, 23153, 137769];['Kanaki Films', 'Puppetworks Animation Studio', 'Animationsfabrik', 'uMedia', 'Walking The Dog', 'Wüste Film', 'Platige Films'];['ES', 'HU', 'DE', 'BE', 'BE', 'DE', 'PL'];5000000;134801;['Animation', 'Documentary', 'History'];['Raúl de la Fuente', 'Damian Nenow'];[2, 2];['Artur Queiroz', 'Luis Alberto Ferreira', 'Joaquim António Lopes Farrusco', 'Kerry Shale', 'Daniel Flynn', 'Youssef Kerkour', 'Lillie Flynn', 'Akie Kotabe', 'Ben Elliot', 'Emma Tate', 'Jude Owusu', 'Martin Sherman', 'William Vanderpuye', 'Carlota Machado', 'Fidel Castro', 'Henry Kissinger', 'Ryszard Kapuściński', 'Hoji Fortuna', 'Tomasz Ziętek'];[0, 0, 0, 2, 2, 2, 0, 2, 0, 1, 0, 2, 2, 0, 2, 2, 2, 2, 2];[];[];['Raúl de la Fuente'];[2];['Raúl de la Fuente', 'Gorka Gómez Andreu'];[2, 2];In 1975, Ryszard Kapuściński, a veteran Polish journalist, embarked on a seemingly suicidal road trip into the heart of the Angola's civil war. There, he witnessed once again the dirty reality of war and discovered a sense of helplessness previously unknown to him. Angola changed him forever: it was a reporter who left Poland, but it was a writer who returned…
516355.0;movie;tt4487076;Memoirs of a Man in Pajamas;Memorias de un hombre en pijama;2.24;4.9;2018-04-14;72;['ES'];es;[];[];[];0;0;['Animation', 'Comedy'];['Carlos Fernández de Vigo'];[0];['Raúl Arévalo', 'María Castro', 'Santi Balmes', 'Jordi Brunet', 'Julián Saldarriaga', 'Manuel Manquiña', 'Elena S. Sánchez', 'Tacho González'];[2, 1, 0, 0, 0, 2, 0, 2];['Diana López Varela', 'Paco Roca', 'Angel de la Cruz'];[0, 2, 0];['Elena Ruiz'];[0];['Marcos García'];[0];Paco, a 40-year-old bachelor, realizes a childhood dream: working at home in his pajamas.
568064.0;movie;tt9422528;Azahar;Azahar;0.367;7.7;2019-06-28;0;['ES'];es;[112252];['Granada Film Factory'];['ES'];0;0;['Animation', 'Drama', 'Adventure'];['Rafael Ruiz Ávila'];[0];[];[];[];[];[];[];[];[];
568066.0;movie;tt9422468;Bikes;Bikes: Una aventura sobre ruedas;4.95;6.1;2018-04-18;92;['AR'];es;[124548];['Animation Bikes'];[''];0;0;['Animation', 'Adventure', 'Family'];['Manuel J. García'];[2];['Silvia Cabrera Martínez', 'Marta Aparicio', 'María Querol', 'Perico Delgado', 'Carlos Latre', 'Anabel Alonso', 'Roberto Merhi', 'Pedro Suero'];[0, 0, 0, 2, 2, 1, 2, 0];[];[];[];[];[];[];Life for the bike citizens is idyllic, until one day, a new and surprising gizmo, the gas engine, comes to town. What follows is a thrilling, hilarious adventure, that will see Speedy the mountain bike become the unwitting leader of a group of environmental activists, who are determined to stop the gas engine from polluting their unspoilt haven.
529210.0;movie;tt7104984;Gun City;La sombra de la ley;9.499;6.306;2018-10-11;127;['ES'];es;[7345, 29566, 67412, 10050, 108769, 5085, 54844, 104];['Vaca Films', 'Atresmedia', 'Movistar+', 'TVG', 'Playtime', 'TV3', 'Sábado Películas', 'Canal+'];['ES', 'ES', 'ES', 'ES', 'FR', 'ES', 'ES', 'FR'];0;0;['Drama', 'Crime', 'Thriller'];['Dani de la Torre'];[2];['Luis Tosar', 'Michelle Jenner', 'Vicente Romero Sánchez', 'Manolo Solo', 'Paco Tous', 'Jaime Lorente', 'Pep Tosar', 'Ernesto Alterio', 'Adriana Torrebejano', 'José Manuel Poga', 'Fredi Leis', 'William Miller', 'Albert Pérez', 'Ricardo de Barreiro', 'Paula del Río', 'Xosé Barato', 'Fernando Cayo', 'Elías Pelayo', 'Machi Salgado', 'Sonia Rúa'];[2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 1, 2, 2, 0, 0, 1];['Patxi Amezcua'];[2];['Jorge Coira'];[2];['Josu Inchaustegui'];[2];Barcelona, ​​Spain, 1921. A tough cop from Madrid arrives in the city to locate, under the suspicious scrutiny of corrupt local police officers, a significant amount of military weaponry stolen from a train, allegedly by revolutionary anarchists.
438373.0;movie;tt6485304;Quién te cantará;Quién te cantará;9.043;7.1;2018-10-24;125;['ES'];es;[6878, 10021, 7395, 78490, 981, 8111];['Canal Sur', 'Áralan Films', 'Les films du Worso', 'Vodafone', 'TVE', 'Apaches Films'];['ES', 'ES', 'FR', '', 'ES', 'ES'];0;0;['Music', 'Drama', 'Mystery'];['Carlos Vermut'];[2];"['Najwa Nimri', 'Eva Llorach', 'Carme Elias', 'Natalia de Molina', 'Julián Villagrán', 'Ignacio Mateos', 'Catalina Sopelana', 'Carolina Yuste', ""Vicenta N'Dongo"", 'Inma Cuevas', 'Lorena Iglesias', 'José Chaves', 'Per-Olov Kindgren', 'Leticia Dolera', 'Misho Amoli', 'PlayCacao', 'Stephanie Gordillo Peregrin']";[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 0, 1, 0, 2, 0];[];[];['Marta Velasco'];[0];['Eduard Grau'];[2];Lila, a famous retired singer, loses her memory after suffering an accident, just as she planned her return to the stage.
