Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
1988,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,A los cuatro vientos,tt0092502,['Javier Artiñano'],['nm0037919'],,
1988,BestDirector(MejorDirector),Winner,Asignatura aprobada,tt0092584,,,José Luis Garci,nm0305054
1988,BestDirector(MejorDirector),Nominee,Angustia,tt0090644,,,Bigas Luna,nm0000940
1988,BestDirector(MejorDirector),Nominee,El Lute (camina o revienta),tt0093458,,,Vicente Aranda,nm0033005
1988,BestEditing(MejorMontaje),Winner,Divinas palabras,tt0092901,['Pablo G. del Amo'],['nm0215327'],,
1988,BestEditing(MejorMontaje),Nominee,La estanquera de Vallecas,tt0092983,['Julio Peña'],['nm0679201'],,
1988,BestEditing(MejorMontaje),Nominee,Mi general,tt0093532,['José Luis Matesanz'],['nm0558337'],,
1988,BestFilm(MejorPelícula),Winner,El bosque animado,tt0092693,['Classic Films'],[''],,
1988,BestFilm(MejorPelícula),Nominee,Divinas palabras,tt0092901,"['Lolafilms', 'Ion Films']","['', '']",,
1988,BestFilm(MejorPelícula),Nominee,El Lute (camina o revienta),tt0093458,['Multivideo'],[''],,
1988,BestLeadActor(MejorActorProtagonista),Winner,El bosque animado,tt0092693,,,Alfredo Landa,nm0484376
1988,BestLeadActor(MejorActorProtagonista),Nominee,El Lute (camina o revienta),tt0093458,,,Imanol Arias,nm0002181
1988,BestLeadActor(MejorActorProtagonista),Nominee,La guerra de los locos,tt0091156,,,José Manuel Cervino,nm0148992
1988,BestLeadActress(MejorActrizProtagonista),Winner,La vida alegre,tt0092170,,,Verónica Forqué,nm0286579
1988,BestLeadActress(MejorActrizProtagonista),Nominee,La casa de Bernarda Alba,tt0092729,,,Irene Gutiérrez Caba,nm0349428
1988,BestLeadActress(MejorActrizProtagonista),Nominee,El Lute (camina o revienta),tt0093458,,,Victoria Abril,nm0000721
1988,BestOriginalScore(MejorMúsicaOriginal),Winner,El bosque animado,tt0092693,['José Nieto'],['nm0631308'],,
1988,BestOriginalScore(MejorMúsicaOriginal),Nominee,Divinas palabras,tt0092901,['Milladoiro'],['nm0587602'],,
1988,BestOriginalScore(MejorMúsicaOriginal),Nominee,Los invitados,tt0091277,['Raúl Alcover'],['nm0017311'],,
1988,BestProductionDesign(MejorDirecciónArtística),Winner,La casa de Bernarda Alba,tt0092729,['Rafael Palmero'],['nm0658520'],,
1988,BestProductionDesign(MejorDirecciónArtística),Nominee,El bosque animado,tt0092693,['Félix Murcia'],['nm0613712'],,
1988,BestProductionDesign(MejorDirecciónArtística),Nominee,La monja alférez,tt0091542,['Eduardo Torre de la Fuente'],['nm0868351'],,
1988,BestProductionManager(MejorDireccióndeProducción),Winner,Cara de acelga,tt0090797,['Marisol Carnicero'],['nm0138862'],,
1988,BestProductionManager(MejorDireccióndeProducción),Nominee,Asignatura aprobada,tt0092584,['Mario Morales'],['nm2867360'],,
1988,BestProductionManager(MejorDireccióndeProducción),Nominee,Policía,tt0093758,['Daniel Vega'],['nm0891805'],,
1988,BestScreenplay(MejorGuión),Winner,El bosque animado,tt0092693,['Rafael Azcona'],['nm0044156'],,
1988,BestScreenplay(MejorGuión),Nominee,Moros y cristianos,tt0093569,"['Rafael Azcona', 'Luis García Berlanga']","['nm0044156', 'nm0305557']",,
1988,BestScreenplay(MejorGuión),Nominee,La guerra de los locos,tt0091156,['Manolo Matji'],['nm0559120'],,
1988,BestSound(MejorSonido),Winner,Divinas palabras,tt0092901,"['Miguel Ángel Polo', 'Enrique Molinero']","['nm0689752', 'nm0596878']",,
1988,BestSound(MejorSonido),Nominee,El bosque animado,tt0092693,"['Bernardo Menz', 'Enrique Molinero']","['nm0579926', 'nm0596878']",,
1988,BestSound(MejorSonido),Nominee,El pecador impecable,tt0093711,"['Carlos Faruolo', 'Enrique Molinero']","['nm0268601', 'nm0596878']",,
1988,BestSpanishLanguageForeignFilm(MejorPelículaExtranjeradeHablaHispana),Winner,Lo que importa es vivir,tt0093430,[],[],,
