Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1929,BestDirector,Nominee,Irving Cummings,nm0191899,En el viejo Arizona,tt0020018,,
1929,BestDirector,Nominee,Frank Lloyd,nm0515979,Weary River,tt0019557,,
1929,BestDirector,Nominee,Frank Lloyd,nm0515979,Drag,tt0019833,,
1929,BestDirector,Nominee,Ernst Lubitsch,nm0523932,El patriota,tt0019257,,
1929,BestPicture,Winner,,,La melodía de Broadway,tt0019729,[],[]
1929,BestPicture,Nominee,,,Ronda nocturna,tt0019630,['Feature Productions'],['']
1929,BestPicture,Nominee,,,The Hollywood Revue of 1928,tt0019993,[],[]
1929,BestPicture,Nominee,,,En el viejo Arizona,tt0020018,[],[]
1929,BestPicture,Nominee,,,El patriota,tt0019257,[],[]
1929,"BestWriting,Achievement",Winner,,,El patriota,tt0019257,['Hanns Kräly'],['nm0473134']
1929,"BestWriting,Achievement",Nominee,,,The Cop,tt0018792,['Elliott J. Clawson'],['nm0165470']
1929,"BestWriting,Achievement",Nominee,,,En el viejo Arizona,tt0020018,['Tom Barry'],['nm0058179']
1929,"BestWriting,Achievement",Nominee,,,The Last of Mrs. Cheyney,tt0020081,['Hanns Kräly'],['nm0473134']
1929,"BestWriting,Achievement",Nominee,,,Los tres desertores,tt0020088,['Elliott J. Clawson'],['nm0165470']
1929,"BestWriting,Achievement",Nominee,,,Vírgenes modernas,tt0019237,['Josephine Lovett'],['nm0522674']
1929,"BestWriting,Achievement",Nominee,,,Sal of Singapore,tt0019348,['Elliott J. Clawson'],['nm0165470']
1929,"BestWriting,Achievement",Nominee,,,Skyscraper,tt0019398,['Elliott J. Clawson'],['nm0165470']
1929,"BestWriting,Achievement",Nominee,,,The Valiant,tt0020543,['Tom Barry'],['nm0058179']
1929,"BestWriting,Achievement",Nominee,,,La mujer ligera,tt0019591,['Bess Meredyth'],['nm0580648']
1929,"BestWriting,Achievement",Nominee,,,El poder de una mujer,tt0020603,['Bess Meredyth'],['nm0580648']
1930,BestActorinaLeadingRole,Winner,George Arliss,nm0002183,Disraeli,tt0019823,,
1930,BestActorinaLeadingRole,Nominee,George Arliss,nm0002183,The Green Goddess,tt0020938,,
1930,BestActorinaLeadingRole,Nominee,Wallace Beery,nm0000891,El presidio,tt0020686,,
1930,BestActorinaLeadingRole,Nominee,Maurice Chevalier,nm0002001,El gran charco,tt0020690,,
1930,BestActorinaLeadingRole,Nominee,Maurice Chevalier,nm0002001,El desfile del amor,tt0020112,,
1930,BestActorinaLeadingRole,Nominee,Ronald Colman,nm0172903,El capitán Drummond,tt0019735,,
1930,BestActorinaLeadingRole,Nominee,Ronald Colman,nm0172903,Condenado,tt0019785,,
1930,BestActorinaLeadingRole,Nominee,Lawrence Tibbett,nm0862546,La canción de la estepa,tt0021307,,
1930,BestActressinaLeadingRole,Winner,Norma Shearer,nm0790454,La divorciada,tt0020827,,
1930,BestActressinaLeadingRole,Nominee,Nancy Carroll,nm0007216,The Devil's Holiday,tt0020823,,
1930,BestActressinaLeadingRole,Nominee,Ruth Chatterton,nm0154183,Sarah and Son,tt0021335,,
1930,BestActressinaLeadingRole,Nominee,Greta Garbo,nm0001256,Anna Christie,tt0020641,,
1930,BestActressinaLeadingRole,Nominee,Greta Garbo,nm0001256,Romance,tt0021310,,
1930,BestActressinaLeadingRole,Nominee,Norma Shearer,nm0790454,Their Own Desire,tt0020488,,
1930,BestActressinaLeadingRole,Nominee,Gloria Swanson,nm0841797,La intrusa,tt0020514,,
1930,BestArtDirection,Winner,,,El rey del Jazz,tt0021025,['Herman Rosse'],['nm0743983']
1930,BestArtDirection,Nominee,,,El capitán Drummond,tt0019735,['William Cameron Menzies'],['nm0580017']
1930,BestArtDirection,Nominee,,,El desfile del amor,tt0020112,['Hans Dreier'],['nm0237417']
1930,BestArtDirection,Nominee,,,Sally,tt0020358,['Jack Okey'],['nm0645605']
1930,BestArtDirection,Nominee,,,El rey vagabundo,tt0021511,['Hans Dreier'],['nm0237417']
